raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,veracruz de ignacio de la llave,castillo de teayo,el xuchitl,137.0,1291,24,['blanco cremoso'],11.4,16.45,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,castillo de teayo,el xuchitl,137.0,1291,24,['blanco cremoso'],12.2,21.81,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,huazalingo,santa maría,516.0,1522,23,"['blanco', 'jaspeado', 'rojo naranja']",10,17.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,huazalingo,santa maría,516.0,1522,23,"['amarillo', 'amarillo naranja', 'amarillo', 'amarillo naranja']",10,15.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,huazalingo,santa maría,516.0,1522,23,"['blanco', 'blanco']",10,18.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,huazalingo,santa maría,516.0,1522,23,"['amarillo', 'amarillo naranja', 'blanco puro', 'amarillo', 'amarillo naranja', 'blanco puro']",10.8,16.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,huazalingo,santa maría,516.0,1522,23,"['amarillo', 'amarillo naranja', 'blanco puro', 'amarillo', 'amarillo naranja', 'blanco puro']",10,11.4,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,huazalingo,santa maría,516.0,1522,23,"['amarillo', 'rojo naranja', 'blanco', 'amarillo', 'rojo naranja', 'blanco']",10,16.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,jesus carranza,"vista hermosa, ejido vista hermosa",58.0,2526,25,"['blanco cremoso', 'amarillo claro']",12,18.15,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,huehuetlan,tantocoy uno,411.0,1500,23,"['blanco', 'amarillo', 'azul']",10.8,21.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el chilar,335.0,1097,25,['blanco cremoso'],12,13.755,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,chicontepec,cerca de sesaltitla,270.0,1323,23,['blanco cremoso'],10.4,16.53,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,el parral,ejido el parral,644.0,1143,24,"['amarillo claro', 'rojo']",9,20,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,el parral,ejido el parral,644.0,1143,24,['blanco'],8,19,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,soyalo,colonia francisco sarabia,873.0,1111,23,['blanco'],10,22,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,soyalo,colonia francisco sarabia,873.0,1111,23,['blanco'],9,18.8,bajas,semi-caliente,abundantes
