taxon_id,taxon,genero,especie,subespecie,raza,fuente,proyecto,procedencia,fecha_colecta_observacion,colector_observador,determinador,id,estado,municipio,localidad,latitud,longitud,altitud
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2002-02-28/9999,"F Humberto Castro García; Simón Méndez","Flavio Aragón Cuevas",336daa82c91be87c251d88e7ad8e2391,OAXACA,"SANTA CATARINA JUQUILA","San Marcos Zacatepec",16.1436097,-97.35389,800
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2002-02-28/9999,"F Humberto Castro García; Simón Méndez","Flavio Aragón Cuevas",5e9677b025daeb247ee35ce1df476cc8,OAXACA,"SANTA CATARINA JUQUILA","San Marcos Zacatepec",16.1436097,-97.35389,800
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2002-02-28/9999,"F Humberto Castro García; Simón Méndez","Flavio Aragón Cuevas",84efb39f7bc9317d35e8fc200d9a09de,OAXACA,"SANTA CATARINA JUQUILA","San Marcos Zacatepec",16.1436097,-97.35389,800
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2002-02-28/9999,"F Humberto Castro García; Simón Méndez","Flavio Aragón Cuevas",a5c1be0342bb6344c8620260ff10416f,OAXACA,"SANTA CATARINA JUQUILA","San Marcos Zacatepec",16.1436097,-97.35389,800
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2002-02-28/9999,"F Humberto Castro García; Simón Méndez","Flavio Aragón Cuevas",cb2207007232e5f48985a6da82cb447f,OAXACA,"SANTA CATARINA JUQUILA","San Marcos Zacatepec",16.1436097,-97.35389,800
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-07-21/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",a756c254cc2ef5282954a8b1df448118,OAXACA,"SANTA CATARINA LOXICHA","Río Enmedio",16.0375833,-96.7250556,563
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-11/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",c60ad848087ce7ecdc1a65acbc99a3fc,OAXACA,"SANTA CATARINA LOXICHA","Río Enmedio",16.0375833,-96.7250556,563
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-11/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",f8f1ae4a327023c20ddcef4b0de92173,OAXACA,"SANTA CATARINA LOXICHA","Río Enmedio",16.0375833,-96.7250556,563
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2009-03-08/9999,"Noel Orlando Gómez Montiel; Francisco Palemón Alberto; Juan Cañedo Castañeda","Juan Manuel Hernández Casillas; Rafael Ortega Paczka",95fbb38526200a1f814be87c04ce11c7,GUERRERO,OMETEPEC,"Cerca de Cochoapa (al E de la localidad)",16.719555,-98.3645247,366
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-11-30/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",f5d5a6329ba998794e10943f7e37992a,OAXACA,"CANDELARIA LOXICHA","Barrio Coyote",15.8155,-96.5710556,156
