race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['yellow', 'orange-yellow', 'yellow', 'orange-yellow']",11.2,18,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,['yellow'],8,17,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,,,,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,['yellow'],9.6,14.8,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['yellow', 'brown']",10,15.5,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,['white'],11.6,17.2,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['yellow', 'red-orange']",10,14.5,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['yellow', 'white']",9.6,14.6,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,Los Colorados,1086,929,22,,10.7,16.525,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Xochiatipan,El Zapote,533,1726,22,"['white', 'light yellow']",9.4,14.23,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,San Baltazar Loxicha,El Ocote,691,985,24,['creamy white'],10.08,17.584,low,semi-warm,abundant
maíz raza olotillo,Guerrero,Eduardo Neri,Tenantla,1762,1125,19,,,,medium altitude,temperate,abundant
maíz raza olotillo,San Luis Potosi,Tanlajas,San José Xilatzen,314,1474,24,"['creamy white', 'orange-yellow']",11,18.4,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Villa Terrazas,84,1552,24,['orange-yellow'],,,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Axtla,84,1552,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Villa Terrazas,84,1552,24,"['light yellow', 'red']",12,16,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Villa Terrazas,84,1552,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Cuetzalan del Progreso,Santiago Yancuitlalpan,508,2493,22,['orange-yellow'],9.6,15.8,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Ohuilapan, Comunidad Ohuilapan",116,1607,25,['creamy white'],10.2,17.37,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huejutla de Reyes,Los Otates,119,1359,24,"['orange-yellow', 'yellow', 'red-orange']",10.8,16.6,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,Paso Ancho,175,1000,26,,10.1,19.125,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['light yellow'],8,17.7,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['white'],8,17.5,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['white'],8,18.9,low,hot,abundant
