"plate_name"	"well"		"sample_name"	"accession_ID"	"concentration"	"volume"	"DNA_yield"	"accession_label"		"country"	"state"	"municipality"	"locality"	"latitude"	"longitude"	"altitude"	"source"	"scale"
"olotillo_plate2"	"C9"		"CHIS_L41_3"	"CHIS_L41"	43.4	30	1302	41		"México"	"Chiapas"	"Ocozocuatla"	"Rancho El Pitutal"					"_L"
"olotillo_plate2"	"D9"		"CAM_E26_1"	"CAM_E26"	167	30	5010											"_E"
"olotillo_plate2"	"E9"		"CHIS_L36_5"	"CHIS_L36"	36.5	30	1095	36		"México"	"Chiapas"	"Jiquipilas"	"Benito Juárez"	16.782556	-93.608043			"_L"
"olotillo_plate2"	"F9"		"CHIS_L43_5"	"CHIS_L43"	45.4	30	1362	43		"México"	"Chiapas"	"Ocozocuatla"	"Región Mazotho_ejido Ocozocuatla "					"_L"
"olotillo_plate2"	"G9"		"GRO_N16_4"	"GRO_N16"	63.8	30	1914	16		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8158056	-98.68438889	615		"_N"
"olotillo_plate2"	"H9"		"CHIS_L04_4"	"CHIS_L04"	100	30	3000	4		"México"	"Chiapas"	"Ocozocuatla"	"El Gavilán"	16.74958638	-93.45830996	767.6349655		"_L"
"olotillo_plate2"	"A10"		"CHIS_R11_3"	"CHIS_R11"	31.8	30	3.2	11		"México"	"Chiapas"	"El Parral"	"El Parral"	16.36401651	-93.00194529	651.2208794		"_R"
"olotillo_plate2"	"B10"		"VER_E17_1"	"VER_E17"	90.8	30	2724											"_E"
"olotillo_plate2"	"C10"		"CAM_E21_1"	"CAM_E21"	133	30	3990											"_E"
"olotillo_plate2"	"D10"		"GAV_F1L1_1"	"GAV_F1L1"	123	30	3690											"_F"
"olotillo_plate2"	"E10"		"GAV_F1L1_2"	"GAV_F1L1"	95.1	30	2853											"_F"
"olotillo_plate2"	"F10"		"CHIS_L41_2"	"CHIS_L41"	42.2	30	1266	41		"México"	"Chiapas"	"Ocozocuatla"	"Rancho El Pitutal"					"_L"
"olotillo_plate2"	"G10"		"GRO_N22_3"	"GRO_N22"	17.2	30	516	22		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8115278	-98.68405556	641		"_N"
"olotillo_plate2"	"H10"		"CHIS_R06_1"	"CHIS_R06"	23.2	30	27.7	6		"México"	"Chiapas"	"Suchiapa"	"El Recreo \"Plan de Mulumi\""	16.63448026	-93.1205578	427.5911362		"_R"
"olotillo_plate2"	"A11"		"GAV_F1L1_3"	"GAV_F1L1"	118	30	3540											"_F"
"olotillo_plate2"	"B11"		"GRO_N13_4"	"GRO_N13"	78.4	30	2352	13		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8115278	-98.68422222	610		"_N"
"olotillo_plate2"	"C11"		"GAV_F1L1_4"	"GAV_F1L1"	140	30	4200											"_F"
"olotillo_plate2"	"D11"		"GRO_N19_3"	"GRO_N19"	72.4	30	2172	19		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8155	-90.68991667	615		"_N"
"olotillo_plate2"	"E11"		"OAX_N32_3"	"OAX_N32"	50	30	1500	32		"México"	"Oaxaca"	""	""					"_N"
"olotillo_plate2"	"F11"		"VER_E18_1"	"VER_E18"	124	30	3720											"_E"
"olotillo_plate2"	"G11"		"CHIS_R02_4"	"CHIS_R02"	58.8	30	1764	2		"México"	"Chiapas"	"Villaflores"	"Ricardo Flores Magón"	16.29907311	-93.59203858	712.9296236		"_R"
"olotillo_plate2"	"H11"		"GAV_F1L2_1"	"GAV_F1L2"	116	30	3480											"_F"
"olotillo_plate2"	"A12"		"GRO_N15_3"	"GRO_N15"	91.9	30	2757	15		"México"	"Guerrero"	"San Luis Acatlán"	"Cuanacaxtitlan"	16.7951944	-98.63719444	438		"_N"
"olotillo_plate2"	"B12"		"CHIS_R10_4"	"CHIS_R10"	66.6	30	1998	10		"México"	"Chiapas"	"Cintalapa"	"Villamorelos"	16.47827842	-93.92893905	704.2106468		"_R"
"olotillo_plate2"	"C12"		"CHIS_E23_1"	"CHIS_E23"	77.7	30	2331											"_E"
"olotillo_plate2"	"D12"		"CHIS_L04_3"	"CHIS_L04"	79.3	30	2379	4		"México"	"Chiapas"	"Ocozocuatla"	"El Gavilán"	16.74958638	-93.45830996	767.6349655		"_L"
"olotillo_plate2"	"E12"		"GAV_F1L3_2"	"GAV_F1L3"	109	30	3270											"_F"
"olotillo_plate2"	"F12"		"CHIS_L37_2"	"CHIS_L37"	98.7	30	2961	37		"México"	"Chiapas"	"Ocozocuatla"	"San Jorge km 18"	16.7129861	-93.52033333	784		"_L"
"olotillo_plate2"	"G12"		"CHIS_R10_3"	"CHIS_R10"	50.3	30	1509	10		"México"	"Chiapas"	"Cintalapa"	"Villamorelos"	16.47827842	-93.92893905	704.2106468		"_R"
"olotillo_plate2"	"H12"		"BLANK"	"BLANK"		30												
